,WT_HTB-22,WT_HTB-123,WT_HTB-25,WT_CRL-1897,MUT_HCC1187,MUT_HCC1419,MUT_HCC1954,MUT_HCC2157,MUT_HCC2998,MUT_MFM-SS3
MAP3K4,1.067668087,1.036343095,-3.948093166,0.792703136,1.633055324,2.022138395,1.67511533,-2.240071121,0.308974095,0.325293748
MAP3K3,-1.487346035,0.862300467,0.353087339,0.736368465,-2.879941198,0.036982167,-1.263334931,1.854311258,0.605098817,-1.764840981
MAP3K2,1.169422196,1.203188596,0.797099171,1.887899086,1.682862054,2.098149762,2.44029125,0.33238023,1.874988022,0.977966378
MAP3K15,1.340111757,0.080611373,0.769226431,1.3165355,1.296205105,1.29408622,0.981828535,1.420535988,0.963476055,0.511002272
MAP3K14,-0.43663692,0.246177229,-0.310003181,0.620351573,0.813084586,-1.417839582,0.987641262,0.492464871,0.796739124,0.57791885
MAP3K13,-0.209091133,-2.561502462,-1.681389099,0.05154566,0.551874921,1.462306894,-2.623730016,0.42299098,-2.971146058,1.178999766
MAP3K12,0.364508851,-0.386613131,-2.783952551,-1.067431242,0.155304166,0.301196109,0.764442803,-3.918353675,0.731712386,0.608256836
MAP3K11,-0.123977522,-2.231502884,1.144890639,-0.06148563,0.429286537,0.499946539,-0.250431272,-0.30375372,-0.84919639,1.4137851
MAP3K10,1.170692062,1.370231433,-1.027193848,2.001272094,1.594206007,2.135800344,2.435626038,-0.091721117,1.015208631,1.069162041
MAP3K1,0.434355447,-0.160190673,1.100465971,-0.646690716,0.535446844,1.114767332,-0.146345145,-2.693312619,-1.498816899,0.489560897
MAP2K7,-0.252614606,1.566818467,-2.880356733,-0.643316667,-0.415139659,-1.367880178,-0.975187531,-3.061752924,-1.218029015,0.002737235
MAP2K6,-4.258172678,-0.320417985,0.819540977,-4.049099624,-4.468244891,-2.438974011,-4.671356922,0.176533774,-3.56037202,-2.39666309
MAP2K5,-0.473456888,0.322906787,0.164218266,-2.143687523,-0.233431129,-0.56760594,-0.04969145,1.164457123,0.75165322,-1.533422367
MAP2K4,-7.788687421,-8.710924984,-13.46553228,-6.274939121,-8.669502191,-5.4010194,-11.28493895,-20.38126254,-8.7645424,-11.70245669
